State Names,Latitudes,Longitudes
Alabama,39.113014,-86.902298
Arizona,33.836082,-111.093735
Arkansas,34.799999,-92.199997
California,39.045753,-119.417931
Colorado,47.751076,-105.358887
Connecticut,41.599998,-72.699997
Delaware,39,-75.5
District of Columbia,35.782169,-77.0369
Florida,27.994402,-81.760254
Georgia,33.247875,-83.441162
Idaho,42.407211,-114.742043
Illinois,40,-89
Indiana,40.273502,-86.126976
Iowa,40.367474,-93.581543
Kansas,38.5,-98
Kentucky,37.926868,-84.27002
Louisiana,43.07597,-92.329102
Maine,45.367584,-68.972168
Maryland,41.203323,-76.641273
Massachusetts,34.048927,-71.382439
Michigan,44.182205,-84.506836
Minnesota,37.839333,-94.63623
Mississippi,33,-90
Missouri State,38.573936,-92.60376
Montana,46.39241,-109.533691
Nebraska,41.5,-100
Nevada,39.876019,-117.224121
New Hampshire,44,-71.5
New Jersey,35.860119,-74.871826
New Mexico,32.31823,-106.018066
New York,43,-75
North Carolina,44.068203,-80.793457
North Dakota,39.833851,-100.437012
Ohio,39.41922,-82.996216
Oklahoma,47.650589,-96.921387
Oregon,44,-120.5
Pennsylvania,34.307144,-77.194527
Rhode Island,41.700001,-71.5
South Carolina,42.032974,-81.163727
South Dakota,44.5,-100
Tennessee,19.741755,-86.660156
Texas,31,-100
Utah,46.96526,-111.950684
Vermont,44,-72.699997
Virginia,66.160507,-78.024902
Washington,36.084621,-120.740135
West Virginia,39,-80.5
Wisconsin,44.5,-89.5
Wyoming,36.778259,-107.290283
