,Place Name,Latitude,Longitude
0,"Wisconsin, the USA",44.5,-89.5
1,"West Virginia, the US",39.0,-80.5
2,"Vermont, the USA",44.0,-72.699997
3,"Texas, the USA",31.0,-100.0
4,"South Dakota, the US",44.5,-100.0
5,"Rhode Island, the US",41.700001,-71.5
6,"Oregon, the US",44.0,-120.5
7,"New York, the US",43.0,-75.0
8,"New Hampshire, the US",44.0,-71.5
9,"Nebraska, the US",41.5,-100.0
10,"Kansas, the US",38.5,-98.0
11,"Mississippi, the US",33.0,-90.0
12,"Illinois, the US",40.0,-89.0
13,"Delaware, the US",39.0,-75.5
14,"Connecticut, the US",41.599998,-72.699997
15,"Arkansas, the US",34.799999,-92.199997
16,"Indiana, USA",40.273502,-86.126976
17,"Missouri State, USA",38.573935999999996,-92.60376
18,"Florida, USA",27.994402,-81.760254
19,"Nevada, USA",39.876019,-117.224121
20,"Maine, USA",45.367584,-68.97216800000001
21,"Michigan, USA",44.182204999999996,-84.50683599999999
22,"Georgia, USA",33.247875,-83.441162
23,"Hawaii, USA",19.741754999999998,-155.844437
24,"Alaska, USA",66.160507,-153.36914099999998
25,"Tennessee, USA",35.860119,-86.660156
26,"Virginia, USA",37.926868,-78.024902
27,"New Jersey, USA",39.833851,-74.871826
28,"Kentucky, USA",37.839333,-84.27002
29,"North Dakota, USA",47.650589000000004,-100.437012
30,"Minnesota, USA",46.39241,-94.63623
31,"Oklahoma, USA",36.084621000000006,-96.921387
32,"Montana, USA",46.96526,-109.53369099999999
33,"Washington State, the USA",47.751076,-120.74013500000001
34,"Utah, USA",39.41922,-111.95068400000001
35,"Colorado, USA",39.113014,-105.35888700000001
36,"Ohio, USA",40.367474,-82.996216
37,"Alabama, USA",32.31823,-86.902298
38,"Iowa, USA",42.032973999999996,-93.58154300000001
39,"New Mexico, USA",34.307144,-106.01806599999999
40,"South Carolina, USA",33.836082,-81.16372700000001
41,"Pennsylvania, USA",41.203323,-77.19452700000001
42,"Arizona, USA",34.048927,-111.09373500000001
43,"Maryland, USA",39.045753000000005,-76.641273
44,"Massachusetts, USA",42.407211,-71.382439
45,"California, the USA",36.778259000000006,-119.41793100000001
46,"Idaho, USA",44.068203000000004,-114.742043
47,"Wyoming, USA",43.07597,-107.290283
48,"North Carolina, USA",35.782169,-80.79345699999999
49,"Louisiana, USA",30.39183,-92.329102
