Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
31-Mar,0,New York,77385,,,,,43,-75
31-Mar,1,New Jersey,20209,,,,,35.860119,-74.871826
31-Mar,2,California,9000,,,,,39.045753,-119.417931
31-Mar,3,Michigan,8123,,,,,44.182205,-84.506836
31-Mar,4,Massachusetts,7116,,,,,34.048927,-71.382439
31-Mar,5,Florida,7000,,,,,27.994402,-81.760254
31-Mar,6,Washington,6010,,,,,36.084621,-120.740135
31-Mar,7,Illinois,6009,,,,,40,-89
31-Mar,8,Pennsylvania,5429,,,,,34.307144,-77.194527
31-Mar,9,Louisiana,6580,,,,,43.07597,-92.329102
31-Mar,10,Georgia,4112,,,,,33.247875,-83.441162
31-Mar,11,Texas,3785,,,,,31,-100
31-Mar,12,Colorado,3100,,,,,47.751076,-105.358887
31-Mar,13,Connecticut,3100,,,,,41.599998,-72.699997
31-Mar,14,Ohio,2470,,,,,39.41922,-82.996216
31-Mar,15,Tennessee,2387,,,,,19.741755,-86.660156
31-Mar,16,Indiana,2268,,,,,40.273502,-86.126976
31-Mar,17,Maryland,1737,,,,,41.203323,-76.641273
31-Mar,18,North Carolina,1663,,,,,44.068203,-80.793457
31-Mar,19,Wisconsin,1523,,,,,44.5,-89.5
31-Mar,20,Arizona,1325,,,,,33.836082,-111.093735
31-Mar,21,Missouri,1435,,,,,38.573936,-92.60376
31-Mar,22,Virginia,1288,,,,,66.160507,-78.024902
31-Mar,23,Nevada,1252,,,,,39.876019,-117.224121
31-Mar,24,Alabama,1075,,,,,39.113014,-86.902298
31-Mar,25,South Carolina,1253,,,,,42.032974,-81.163727
31-Mar,26,Mississippi,998,,,,,33,-90
31-Mar,27,Utah,956,,,,,46.96526,-111.950684
31-Mar,28,Oregon,709,,,,,44,-120.5
31-Mar,29,Minnesota,657,,,,,37.839333,-94.63623
31-Mar,30,Arkansas,575,,,,,34.799999,-92.199997
31-Mar,31,District Of Columbia,566,,,,,35.782169,-77.0369
31-Mar,32,Oklahoma,687,,,,,47.650589,-96.921387
31-Mar,33,Kentucky,626,,,,,37.926868,-84.27002
31-Mar,34,Iowa,526,,,,,40.367474,-93.581543
31-Mar,35,Idaho,604,,,,,42.407211,-114.742043
31-Mar,36,Rhode Island,525,,,,,41.700001,-71.5
31-Mar,37,Kansas,441,,,,,38.5,-98
31-Mar,38,New Hampshire,400,,,,,44,-71.5
31-Mar,39,New Mexico,345,,,,,32.31823,-106.018066
31-Mar,40,Maine,318,,,,,45.367584,-68.972168
31-Mar,41,Delaware,314,,,,,39,-75.5
31-Mar,42,Vermont,278,,,,,44,-72.699997
31-Mar,44,Montana,194,,,,,46.39241,-109.533691
31-Mar,45,Nebraska,193,,,,,41.5,-100
31-Mar,46,West Virginia,174,,,,,39,-80.5
31-Mar,48,North Dakota,127,,,,,39.833851,-100.437012
31-Mar,49,South Dakota,127,,,,,44.5,-100
31-Mar,50,Wyoming,109,,,,,36.778259,-107.290283
