Index,Date,ID ,State,TotalCases,New Cases,TotalDeaths,NewDeaths,Active Cases,Lat,Lng
0,1-Apr,0,New York,93053,"9,152",2538,319,83081,40.663468,-73.938697
1,1-Apr,1,New Jersey,25590,"3,335",537,182,25053,40.72422,-74.172574
2,1-Apr,2,California,10838,"1,031",234,24,9754,34.019394,-118.410825
3,1-Apr,3,Michigan,10791,"1,457",417,80,10369,42.383037,-83.102237
4,1-Apr,4,Louisiana,9150,"2,726",310,37,8820,30.05342,-89.934502
5,1-Apr,5,Florida,9008,"1,235",144,43,8864,30.336864,-81.661603
6,1-Apr,6,Massachusetts,8966,"1,228",154,32,8802,42.338551,-71.018253
7,1-Apr,7,Illinois,7695,715,157,16,7536,41.837551,-87.681844
8,1-Apr,8,Pennsylvania,7264,"1,262",90,16,7136,40.009376,-75.133346
9,1-Apr,9,Washington,6585,741,272,22,5750,47.619349,-122.351471
10,1-Apr,10,Georgia,5348,600,163,9,5185,33.762909,-84.422675
11,1-Apr,11,Texas,4823,755,77,17,4639,29.786642,-95.390899
12,1-Apr,12,Connecticut,3824,267,112,27,3712,41.187393,-73.195757
13,1-Apr,13,Colorado,3728,386,97,17,3631,39.76185,-104.881105
14,1-Apr,14,Tennessee,3194,511,32,7,2942,36.1718,-86.785002
15,1-Apr,15,Indiana,3039,474,78,13,2961,39.776664,-86.145935
16,1-Apr,16,Ohio,2902,355,81,16,2821,39.984371,-82.984787
17,1-Apr,17,Maryland,2331,346,36,5,2214,39.300032,-76.610476
18,1-Apr,18,North Carolina,2023,306,18,3,1985,35.208707,-80.830739
19,1-Apr,19,Missouri,1834,253,19,1,1813,39.125129,-94.551028
20,1-Apr,20,Wisconsin,1730,180,38,13,1690,43.063348,-87.966695
21,1-Apr,21,Virginia,1706,222,41,7,1663,36.779985,-76.025209
22,1-Apr,22,Arizona,1598,185,32,3,1563,33.572154,-112.090132
23,1-Apr,23,South Carolina,1554,261,31,5,1523,32.81793,-79.95896
24,1-Apr,24,Nevada,1458,179,38,12,1420,36.227551,-115.263782
25,1-Apr,25,Alabama,1261,153,32,4,1229,33.527444,-86.799047
26,1-Apr,26,Mississippi,1177,104,26,4,1151,32.315831,-90.212823
27,1-Apr,27,Utah,1074,62,7,,1067,40.776928,-111.930991
28,1-Apr,28,Idaho,891,218,9,,882,43.600229,-116.231656
29,1-Apr,29,Oklahoma,879,160,34,4,844,35.467079,-97.513657
30,1-Apr,30,Oregon,826,90,21,2,805,45.536951,-122.649971
31,1-Apr,31,Kentucky,770,90,31,11,675,38.165376,-85.647377
32,1-Apr,32,Minnesota,742,53,18,1,436,44.963324,-93.26832
33,1-Apr,33,Arkansas,683,99,12,2,621,34.725432,-92.358556
34,1-Apr,34,Rhode Island,657,91,12,2,645,41.823056,-71.418784
35,1-Apr,35,District Of Columbia,653,67,12,1,468,,
36,1-Apr,36,Iowa,614,65,11,2,585,41.57259,-93.610243
37,1-Apr,37,Kansas,552,70,13,3,539,37.690638,-97.345836
38,1-Apr,38,New Hampshire,479,64,5,1,383,44,-71.5
39,1-Apr,39,New Mexico,403,40,7,1,396,35.10478,-106.646809
40,1-Apr,40,Delaware,393,25,12,1,332,39,-75.5
41,1-Apr,41,Maine,376,32,7,,275,45.367584,-68.972168
42,1-Apr,42,Vermont,338,17,17,1,321,44,-72.699997
43,1-Apr,44,Nebraska,246,36,5,1,241,41.261748,-96.047142
44,1-Apr,45,Montana,227,10,6,,221,46.96526,-109.533691
45,1-Apr,46,West Virginia,217,26,2,,215,39,-80.5
46,1-Apr,47,South Dakota,165,36,2,,106,43.539466,-96.732035
47,1-Apr,48,North Dakota,159,17,3,,113,47.650589,-100.437012
48,1-Apr,49,Wyoming,150,13,,,124,43.07597,-107.290283
49,,,District of Columbia,,,,,,38.904103,-77.017229
50,,,Hawaii,,,,,,21.324347,-157.84764
51,,,Alaska,,,,,,61.17425,-149.284329
