,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Lat,Lng
0,New York,20875,"5,085",157,43,20610,40.663468,-73.938697
1,New Jersey,2844,930,27,7,2817,40.72422,-74.172574
2,Washington,2221,225,110,15,1987,47.619349,-122.351471
3,California,2133,378,40,6,2087,34.019394,-118.410825
4,Michigan,1328,293,15,6,1313,42.383037,-83.102237
5,Illinois,1285,236,12,3,1271,41.837551,-87.681844
6,Florida,1227,220,18,5,1209,30.336864,-81.661603
7,Louisiana,1172,335,35,15,1137,30.05342,-89.934502
8,Texas,806,208,9,3,786,29.786642,-95.390899
9,Georgia,800,200,26,3,774,33.762909,-84.422675
10,Massachusetts,777,131,9,4,767,42.338551,-71.018253
11,Colorado,720,129,7,1,713,39.76185,-104.881105
12,Pennsylvania,644,165,6,3,638,40.009376,-75.133346
13,Tennessee,615,110,2,,613,36.1718,-86.785002
14,Ohio,442,91,6,3,436,39.984371,-82.984787
15,Wisconsin,416,35,5,1,410,43.063348,-87.966695
16,Connecticut,415,192,10,5,405,41.187393,-73.195757
17,North Carolina,410,139,,,410,35.208707,-80.830739
18,South Carolina,299,104,5,2,294,32.81793,-79.95896
19,Maryland,288,44,3,,281,39.300032,-76.610476
20,Indiana,259,58,7,1,252,39.776664,-86.145935
21,Utah,257,76,1,,256,40.776928,-111.930991
22,Virginia,254,35,7,4,246,36.779985,-76.025209
23,Mississippi,249,42,1,,248,32.315831,-90.212823
24,Nevada,245,55,4,2,241,36.227551,-115.263782
25,Minnesota,235,66,1,,210,44.963324,-93.26832
26,Arizona,234,82,2,,231,33.572154,-112.090132
27,Arkansas,197,32,,,197,34.725432,-92.358556
28,Alabama,196,39,,,196,33.527444,-86.799047
29,Oregon,191,30,5,1,186,45.536951,-122.649971
30,Missouri,183,93,4,1,179,39.125129,-94.551028
31,District of Columbia,137,39,2,,135,38.904103,-77.017229
32,Kentucky,124,21,4,1,118,38.165376,-85.647377
33,Maine,107,18,,,104,45.367584,-68.972168
34,Rhode Island,106,23,,,106,41.823056,-71.418784
35,Iowa,105,15,,,105,41.57259,-93.610243
36,New Hampshire,101,23,1,1,100,44.000000,-71.5
37,New Mexico,83,18,,,83,35.10478,-106.646809
38,Kansas,82,18,2,,80,37.690638,-97.345836
39,Oklahoma,81,14,2,,78,35.467079,-97.513657
40,Hawaii,77,21,,,77,21.324347,-157.84764
41,Vermont,75,23,5,3,70,44.000000,-72.699997
42,Delaware,68,12,,,68,39.000000,-75.5
43,Nebraska,50,8,,,50,41.261748,-96.047142
44,Idaho,47,5,,,47,43.600229,-116.231656
45,Montana,45,11,,,45,46.96526,-109.533691
46,Alaska,32,10,,,32,61.17425,-149.284329
47,North Dakota,32,2,,,32,47.650589,-100.437012
48,South Dakota,28,7,1,,21,43.539466,-96.732035
49,Wyoming,26,2,,,26,43.07597,-107.290283
50,West Virginia,16,4,,,16,39,80.5
51,Diamond Princess Cruise,49,,,,49,,
52,Grand Princess Cruise,30,,1,,29,,
53,Total:,43718,10152,552,139,42871,,
