,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
0,New York,15790,"+5,418",114.0,+58,15676,[source]
1,Washington,1996,+203,95.0,+1,1777,[source]
2,New Jersey,1914,+587,20.0,+4,1894,[source]
3,California,1755,+364,34.0,+10,1715,[source]
4,Illinois,1049,+296,9.0,+3,1038,[source]
5,Michigan,1035,+248,9.0,+4,1026,[source]
6,Florida,1007,+348,13.0,+1,994,[source]
7,Louisiana,837,+252,20.0,+4,817,[source]
8,Massachusetts,646,+121,5.0,+4,640,[source]
9,Georgia,600,+45,23.0,+9,577,[source]
10,Texas,598,+125,6.0,+1,581,[source]
11,Colorado,591,+115,6.0,+1,585,[source]
12,Tennessee,505,+134,2.0,+1,503,[source]
13,Pennsylvania,479,+88,3.0,+1,476,[source]
14,Wisconsin,381,+100,4.0,,376,[source]
15,Ohio,351,+104,3.0,,348,[source]
16,North Carolina,271,+25,,,271,[source]
17,Maryland,244,+54,3.0,+1,237,[source]
18,Connecticut,223,+29,5.0,+1,218,[source]
19,Virginia,219,+67,3.0,+1,215,[source]
20,Mississippi,207,+66,1.0,,206,[source]
21,Indiana,201,+72,6.0,+3,195,[source]
22,South Carolina,195,+22,3.0,,192,[source]
23,Nevada,190,+29,2.0,,188,[source]
24,Utah,181,+45,1.0,+1,180,[source]
25,Minnesota,169,+31,1.0,,144,[source]
26,Arkansas,165,+47,,,165,[source]
27,Oregon,161,+24,4.0,,157,[source]
28,Alabama,157,+32,,,157,[source]
29,Arizona,152,+44,2.0,+1,149,[source]
30,Kentucky,103,+39,3.0,+1,98,[source]
31,District of Columbia,98,+21,2.0,+-1,96,[source]
32,Missouri,90,+16,3.0,,87,[source]
33,Iowa,90,+22,,,90,[source]
34,Maine,89,+19,,,89,[source]
35,Rhode Island,83,+29,,,83,[source]
36,New Hampshire,78,+13,,,78,[source]
37,Oklahoma,67,+14,2.0,+1,64,[source]
38,New Mexico,65,+8,,,65,[source]
39,Kansas,64,+7,2.0,+1,62,[source]
40,Delaware,56,+16,,,56,[source]
41,Hawaii,56,+8,,,56,[source]
42,Vermont,52,+3,2.0,,50,[source]
43,Idaho,42,+6,,,42,[source]
44,Nebraska,42,+4,,,42,[source]
45,Montana,34,+7,,,34,[source]
46,North Dakota,30,+2,,,30,[source]
47,Wyoming,24,+1,,,24,[source]
48,Alaska,22,+8,,,22,[source]
49,South Dakota,21,+7,1.0,,20,[source]
50,West Virginia,12,+1,,,12,[source]
51,Diamond Princess Cruise,49,,,,49,[source]
52,Grand Princess Cruise,30,+7,1.0,,29,[source]
53,Total:,43718,9393,552.0,112,42871,
