,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases
0,New York,46262,"+7,285",606.0,140.0,43611
1,New Jersey,8825,"+1,949",108.0,27.0,8717
2,California,4791,+776,94.0,12.0,4679
3,Washington,3700,+493,175.0,28.0,3401
4,Michigan,3657,+801,92.0,32.0,3560
5,Massachusetts,3240,+823,35.0,10.0,3204
6,Florida,3198,+714,46.0,17.0,3152
7,Illinois,3026,+488,34.0,8.0,2990
8,Louisiana,2746,+441,119.0,36.0,2627
9,Pennsylvania,2218,+531,22.0,6.0,2196
10,Georgia,2198,+555,65.0,9.0,2133
11,Texas,1950,+362,26.0,6.0,1913
12,Colorado,1734,+304,31.0,7.0,1703
13,Connecticut,1291,+279,27.0,6.0,1264
14,Tennessee,1203,+105,6.0,3.0,1197
15,Ohio,1137,+270,19.0,4.0,1118
16,Indiana,981,+336,24.0,7.0,957
17,North Carolina,880,+51,3.0,1.0,877
18,Wisconsin,842,+135,14.0,4.0,826
19,Maryland,774,+194,5.0,1.0,744
20,Missouri,670,+168,9.0,1.0,659
21,Arizona,665,+157,13.0,5.0,649
22,Alabama,627,+96,3.0,2.0,624
23,Virginia,604,+144,14.0,1.0,588
24,Mississippi,579,+94,8.0,3.0,571
25,South Carolina,539,+83,13.0,4.0,526
26,Nevada,535,+115,10.0,,525
27,Utah,480,+78,2.0,1.0,478
28,Oregon,414,+98,11.0,,403
29,Minnesota,398,+52,4.0,2.0,260
30,Arkansas,381,+46,3.0,1.0,359
31,Oklahoma,322,+72,8.0,1.0,313
32,District Of Columbia,304,+37,4.0,1.0,249
33,Kentucky,302,+54,8.0,3.0,292
34,Iowa,235,+55,3.0,2.0,214
35,Idaho,230,+41,3.0,,227
36,Rhode Island,203,+38,,,203
37,Kansas,202,+34,4.0,1.0,198
38,New Mexico,191,+55,1.0,,190
39,New Hampshire,187,+29,2.0,1.0,185
40,Vermont,184,+26,10.0,1.0,174
41,Maine,168,+13,1.0,1.0,151
42,Delaware,165,+35,2.0,1.0,159
43,Montana,121,+50,1.0,1.0,120
44,Hawaii,120,+14,,,120
45,West Virginia,96,+20,1.0,1.0,95
46,Nebraska,85,+17,,,85
47,Wyoming,73,+17,,,73
48,Alaska,69,+10,1.0,1.0,68
49,North Dakota,68,+16,1.0,1.0,52
50,South Dakota,58,+12,1.0,,36
51,Guam,51,+6,1.0,,50
52,Puerto Rico,79,+15,3.0,1.0,75
53,United States Virgin Islands,19,+2,,,19
54,Wuhan Repatriated,3,,,,3
55,Diamond Princess Cruise,46,,,,46
56,Total:,118592,18691,1979.0,401.0,113389
