State,Data
New York,749
Washington,1960
New Jersey,1521
California,608
Illinois,611
Michigan,597
Florida,619
Louisiana,1704
Massachusetts,1641
Georgia,1552
Texas,1849
Colorado,1945
Tennessee,828
Pennsylvania,1859
Wisconsin,1377
Ohio,1402
North Carolina,586
Maryland,792
Connecticut,1195
Virginia,1332
Mississippi,1351
Indiana,1362
South Carolina,1491
Nevada,1397
Utah,764
Minnesota,735
Arkansas,1272
Oregon,1649
Alabama,1573
Arizona,1702
Kentucky,1712
District of Columbia,1064
Missouri,1268
Iowa,1828
Maine,1493
Rhode Island,788
New Hampshire,1882
Oklahoma,1807
New Mexico,1307
Kansas,1281
Delaware,1716
Hawaii,517
Vermont,1836
Idaho,1216
Nebraska,626
Montana,815
North Dakota,1188
Wyoming,726
Alaska,1202
South Dakota,1525
West Virginia,1422
Diamond Princess Cruise,1062
Grand Princess Cruise,1266
Total:,509
