,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases
0,New York,60679,"+7,286",1063.0,180.0,56044
1,New Jersey,13386,"+2,262",161.0,21.0,13225
2,California,6204,+655,131.0,12.0,6052
3,Michigan,5486,+836,132.0,21.0,5349
4,Massachusetts,4955,+698,48.0,4.0,4906
5,Florida,4950,+912,60.0,4.0,4890
6,Washington,4896,+586,200.0,11.0,4276
7,Illinois,4596,"+1,105",65.0,18.0,4529
8,Louisiana,3540,+225,151.0,14.0,3389
9,Pennsylvania,3419,+668,41.0,7.0,3378
10,Texas,2808,+479,38.0,8.0,2701
11,Georgia,2683,+237,83.0,4.0,2600
12,Colorado,2307,+246,47.0,3.0,2260
13,Connecticut,1993,+469,34.0,1.0,1959
14,Tennessee,1720,+208,7.0,,1661
15,Ohio,1653,+247,29.0,4.0,1624
16,Indiana,1514,+282,32.0,1.0,1482
17,Maryland,1239,+247,10.0,5.0,1197
18,North Carolina,1167,+145,7.0,3.0,1160
19,Wisconsin,1154,+165,17.0,2.0,1135
20,Nevada,920,+299,15.0,1.0,905
21,Arizona,919,+146,17.0,2.0,899
22,Missouri,903,+65,12.0,2.0,889
23,Virginia,890,+151,22.0,5.0,866
24,Alabama,827,+125,9.0,5.0,818
25,South Carolina,774,+114,16.0,1.0,758
26,Mississippi,758,+95,14.0,1.0,744
27,Utah,719,+117,2.0,,717
28,Oregon,548,+69,13.0,,535
29,Minnesota,503,+62,9.0,4.0,360
30,Kentucky,439,+45,8.0,,367
31,Oklahoma,429,+52,16.0,1.0,412
32,Arkansas,426,+17,6.0,1.0,392
33,District Of Columbia,401,+59,9.0,5.0,341
34,Iowa,336,+38,4.0,1.0,314
35,Kansas,319,+58,6.0,1.0,313
36,Idaho,310,+49,6.0,2.0,304
37,Rhode Island,294,+55,3.0,1.0,291
38,New Hampshire,258,+44,3.0,1.0,255
39,Maine,253,+42,3.0,2.0,234
40,New Mexico,237,+29,2.0,,235
41,Vermont,235,+24,12.0,,223
42,Delaware,232,+18,6.0,1.0,217
43,Hawaii,175,+24,,,175
44,Montana,161,+32,1.0,,160
45,West Virginia,124,+11,1.0,1.0,123
46,Nebraska,120,+24,2.0,,118
47,Alaska,102,+17,2.0,,100
48,North Dakota,98,+15,1.0,,79
49,South Dakota,90,+22,1.0,,60
50,Wyoming,87,+3,,,87
51,Guam,56,+5,1.0,,48
52,Northern Mariana Islands,2,+2,,,2
53,Puerto Rico,127,+27,5.0,2.0,121
54,United States Virgin Islands,21,,,,21
55,Wuhan Repatriated,3,,,,3
56,Diamond Princess Cruise,46,,,,46
57,Total:,163490,19913,3148.0,363.0,154836
