,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
0,New York,92381,"+8,480",2373.0,154.0,82574,[1] [2] [3] [4] [5] [6] [7] [8]
1,New Jersey,25590,"+3,335",537.0,182.0,25053,[1] [2]
2,Michigan,10791,"+1,457",417.0,80.0,10369,[1] [2]
3,California,10018,+211,215.0,5.0,8953,[1]
4,Louisiana,9150,"+2,726",310.0,37.0,8820,[1]
5,Massachusetts,8966,"+1,228",154.0,32.0,8802,[1] [2]
6,Florida,8010,+237,128.0,27.0,7882,[1] [2]
7,Illinois,7695,+715,157.0,16.0,7536,[1] [2] [3] [4]
8,Pennsylvania,7016,"+1,014",90.0,16.0,6888,[1] [2] [3] [4]
9,Washington,5991,+147,254.0,4.0,5174,[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]
10,Georgia,5348,+600,163.0,9.0,5185,[1] [2] [3]
11,Texas,4823,+755,74.0,14.0,4642,[1] [2] [3]
12,Connecticut,3824,+267,112.0,27.0,3712,[1] [2] [3]
13,Colorado,3342,,80.0,,3262,[1]
14,Tennessee,3194,+511,32.0,7.0,2942,[1] [2]
15,Indiana,3039,+474,78.0,13.0,2961,[1]
16,Ohio,2902,+355,81.0,16.0,2821,[1]
17,Maryland,2331,+346,36.0,5.0,2214,[1]
18,North Carolina,1910,+193,17.0,2.0,1873,[1] [2] [3]
19,Missouri,1834,+253,19.0,1.0,1813,[1]
20,Wisconsin,1730,+180,31.0,6.0,1697,[1] [2] [3]
21,Virginia,1706,+222,41.0,7.0,1663,[1]
22,Arizona,1598,+185,32.0,3.0,1563,[1]
23,South Carolina,1554,+261,31.0,5.0,1523,[1]
24,Nevada,1458,+179,38.0,12.0,1420,[1] [2]
25,Alabama,1233,+125,32.0,4.0,1201,[1]
26,Mississippi,1177,+104,26.0,4.0,1151,[1]
27,Utah,1074,+62,7.0,,1067,[1] [2]
28,Oklahoma,879,+160,34.0,4.0,844,[1]
29,Minnesota,742,+53,18.0,1.0,436,[1]
30,Oregon,736,,19.0,,717,[1] [2] [3]
31,Kentucky,680,,20.0,,596,[1]
32,Idaho,673,,9.0,,664,[1] [2]
33,Rhode Island,657,+91,12.0,2.0,645,[1] [2] [3]
34,District Of Columbia,653,+67,12.0,1.0,468,[1]
35,Arkansas,643,+59,12.0,2.0,584,[1] [2]
36,Iowa,613,+64,11.0,2.0,584,[1] [2] [3]
37,Kansas,552,+70,13.0,3.0,539,[1] [2] [3]
38,New Hampshire,415,,4.0,,355,[1] [2]
39,Maine,376,+32,7.0,,275,[1] [2]
40,Delaware,368,,11.0,,308,[1] [2] [3]
41,New Mexico,363,,6.0,,357,[1] [2]
42,Vermont,338,+17,17.0,1.0,321,[1]
43,Hawaii,258,,1.0,,199,[1]
44,Nebraska,246,+36,5.0,1.0,241,[1] [2] [3]
45,Montana,227,+10,6.0,,221,[1] [2] [3]
46,West Virginia,217,+26,2.0,,215,[1]
47,South Dakota,165,+36,2.0,,106,[1]
48,North Dakota,159,+17,3.0,,113,[1]
49,Wyoming,150,+13,,,124,[1] [2]
50,Alaska,143,+10,3.0,,140,[1] [2]
51,Guam,82,+5,3.0,,72,[1] [2]
52,Northern Mariana Islands,6,,1.0,,5,[1]
53,Puerto Rico,316,+30,12.0,1.0,300,[1] [2] [3] [4]
54,United States Virgin Islands,30,,,,9,[1]
55,Wuhan Repatriated,3,,,,3,
56,Diamond Princess Cruise,46,,,,46,
57,Total:,240421,25418,5808.0,706.0,224248,
