,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81218,+47,3281.0,4.0,73650.0,4287,1399.0,56.0,2.0
1,Italy,69176,"+5,249",6820.0,743.0,8326.0,54030,3393.0,1144.0,113.0
2,USA,54856,"+11,075",780.0,225.0,379.0,53697,1175.0,166.0,2.0
3,Spain,42058,"+6,922",2991.0,680.0,3794.0,35273,2636.0,900.0,64.0
4,Germany,32991,"+3,935",159.0,36.0,3290.0,29542,23.0,394.0,2.0
5,Iran,24811,"+1,762",1934.0,122.0,8913.0,13964,,295.0,23.0
6,France,22304,"+2,448",1100.0,240.0,3281.0,17923,2516.0,342.0,17.0
7,Switzerland,9877,"+1,082",122.0,2.0,131.0,9624,141.0,1141.0,14.0
8,S. Korea,9037,+76,120.0,9.0,3507.0,5410,59.0,176.0,2.0
9,UK,8077,"+1,427",422.0,87.0,135.0,7520,20.0,119.0,6.0
10,Netherlands,5560,+811,276.0,63.0,2.0,5282,435.0,324.0,16.0
11,Austria,5283,+809,28.0,7.0,9.0,5246,22.0,587.0,3.0
12,Belgium,4269,+526,122.0,34.0,461.0,3686,381.0,368.0,11.0
13,Norway,2866,+241,12.0,2.0,6.0,2848,44.0,529.0,2.0
14,Canada,2792,+701,26.0,2.0,112.0,2654,1.0,74.0,0.7
15,Portugal,2362,+302,33.0,10.0,22.0,2307,48.0,232.0,3.0
16,Australia,2317,+430,8.0,1.0,118.0,2191,11.0,91.0,0.3
17,Sweden,2299,+253,40.0,13.0,16.0,2243,143.0,228.0,4.0
18,Brazil,2247,+323,46.0,12.0,2.0,2199,18.0,11.0,0.2
19,Israel,1930,+488,3.0,2.0,53.0,1874,34.0,223.0,0.3
20,Turkey,1872,+343,44.0,7.0,,1828,,22.0,0.5
21,Malaysia,1624,+106,16.0,2.0,183.0,1425,64.0,50.0,0.5
22,Denmark,1591,+131,32.0,8.0,1.0,1558,69.0,275.0,6.0
23,Czechia,1394,+158,3.0,2.0,10.0,1381,19.0,130.0,0.3
24,Ireland,1329,+204,7.0,1.0,5.0,1317,29.0,269.0,1.0
25,Japan,1193,+65,43.0,1.0,285.0,865,54.0,9.0,0.3
26,Luxembourg,1099,+224,8.0,,6.0,1085,3.0,1756.0,13.0
27,Ecuador,1082,+101,27.0,9.0,3.0,1052,2.0,61.0,2.0
28,Pakistan,972,+97,7.0,1.0,18.0,947,5.0,4.0,0.03
29,Chile,922,+176,2.0,,17.0,903,7.0,48.0,0.1
30,Poland,901,+152,10.0,2.0,1.0,890,3.0,24.0,0.3
31,Thailand,827,+106,4.0,3.0,52.0,771,7.0,12.0,0.06
32,Romania,794,+218,12.0,5.0,79.0,703,15.0,41.0,0.6
33,Finland,792,+92,1.0,,10.0,781,11.0,143.0,0.2
34,Saudi Arabia,767,+205,1.0,1.0,28.0,738,,22.0,0.03
35,Greece,743,+48,20.0,3.0,29.0,694,35.0,71.0,2.0
36,Diamond Princess,712,,10.0,2.0,587.0,115,15.0,,
37,Indonesia,686,+107,55.0,6.0,30.0,601,,3.0,0.2
38,Iceland,648,+60,2.0,1.0,51.0,595,13.0,1899.0,6.0
39,Singapore,558,+49,2.0,,156.0,400,14.0,95.0,0.3
40,South Africa,554,+152,,,4.0,550,2.0,9.0,
41,Philippines,552,+90,35.0,2.0,20.0,497,1.0,5.0,0.3
42,India,536,+37,10.0,,40.0,486,,0.4,0.01
43,Qatar,526,+25,,,41.0,485,6.0,183.0,
44,Russia,495,+57,1.0,,22.0,472,8.0,3.0,0.01
45,Slovenia,480,+38,4.0,1.0,3.0,473,12.0,231.0,2.0
46,Panama,443,+98,6.0,,1.0,436,33.0,103.0,1.0
47,Peru,416,+21,7.0,2.0,1.0,408,9.0,13.0,0.2
48,Egypt,402,+36,20.0,1.0,80.0,302,,4.0,0.2
49,Bahrain,392,+15,3.0,1.0,177.0,212,2.0,230.0,2.0
50,Argentina,387,+86,6.0,2.0,52.0,329,,9.0,0.1
51,Hong Kong,387,+30,4.0,,102.0,281,4.0,52.0,0.5
52,Croatia,382,+67,1.0,,5.0,376,6.0,93.0,0.2
53,Colombia,378,+101,3.0,,6.0,369,,7.0,0.06
54,Estonia,369,+17,,,7.0,362,4.0,278.0,
55,Mexico,367,+51,4.0,1.0,4.0,359,1.0,3.0,0.03
56,Lebanon,318,+51,4.0,,8.0,306,4.0,47.0,0.6
57,Iraq,316,+50,27.0,4.0,75.0,214,,8.0,0.7
58,Dominican Republic,312,+67,6.0,3.0,3.0,303,,29.0,0.6
59,Serbia,303,+54,3.0,,15.0,285,21.0,35.0,0.3
60,Algeria,264,+34,19.0,2.0,24.0,221,,6.0,0.4
61,Armenia,249,+14,,,14.0,235,6.0,84.0,
62,UAE,248,+50,2.0,,45.0,201,2.0,25.0,0.2
63,Bulgaria,218,+17,3.0,,3.0,212,8.0,31.0,0.4
64,Taiwan,216,+21,2.0,,29.0,185,,9.0,0.08
65,Lithuania,209,+30,2.0,1.0,1.0,206,1.0,77.0,0.7
66,New Zealand,205,+103,,,22.0,183,,43.0,
67,Slovakia,204,+18,,,7.0,197,2.0,37.0,
68,Latvia,197,+17,,,1.0,196,,104.0,
69,Kuwait,191,+2,,,39.0,152,5.0,45.0,
70,Uruguay,189,+27,,,,189,3.0,54.0,
71,San Marino,187,,21.0,1.0,4.0,162,12.0,5511.0,619.0
72,Hungary,187,+20,9.0,1.0,21.0,157,6.0,19.0,0.9
73,Costa Rica,177,+19,2.0,,2.0,173,4.0,35.0,0.4
74,Morocco,170,+27,5.0,1.0,6.0,159,1.0,5.0,0.1
75,Bosnia and Herzegovina,168,+32,3.0,2.0,2.0,163,1.0,51.0,0.9
76,Andorra,164,+31,1.0,,1.0,162,7.0,2123.0,13.0
77,Jordan,154,+27,,,1.0,153,,15.0,
78,North Macedonia,148,+12,2.0,,1.0,145,1.0,71.0,1.0
79,Vietnam,134,+11,,,17.0,117,3.0,1.0,
80,Moldova,125,+16,1.0,,2.0,122,10.0,31.0,0.2
81,Cyprus,124,+8,3.0,2.0,3.0,118,3.0,103.0,2.0
82,Albania,123,+19,5.0,1.0,10.0,108,2.0,43.0,2.0
83,Faeroe Islands,122,+4,,,33.0,89,,2497.0,
84,Burkina Faso,114,+15,4.0,,7.0,103,,5.0,0.2
85,Tunisia,114,+25,4.0,1.0,1.0,109,11.0,10.0,0.3
86,Malta,110,+3,,,2.0,108,1.0,249.0,
87,Brunei,104,+13,,,2.0,102,2.0,238.0,
88,Ukraine,102,+29,3.0,,1.0,98,,2.0,0.07
89,Sri Lanka,102,+5,,,2.0,100,2.0,5.0,
90,Réunion,94,+23,,,1.0,93,,105.0,
91,Cambodia,91,+4,,,4.0,87,1.0,5.0,
92,Azerbaijan,87,+15,1.0,,10.0,76,6.0,9.0,0.1
93,Senegal,86,+7,,,8.0,78,,5.0,
94,Oman,84,+18,,,17.0,67,,16.0,
95,Venezuela,84,,,,15.0,69,2.0,3.0,
96,Belarus,81,,,,22.0,59,,9.0,
97,Afghanistan,74,+34,1.0,,1.0,72,,2.0,0.03
98,Guadeloupe,73,+11,1.0,,,72,4.0,182.0,2.0
99,Ivory Coast,73,+48,,,2.0,71,,3.0,
100,Kazakhstan,72,+10,,,,72,,4.0,
101,Georgia,70,+9,,,9.0,61,1.0,18.0,
102,Cameroon,66,+10,1.0,1.0,2.0,63,,2.0,0.04
103,Palestine,60,+1,,,16.0,44,,12.0,
104,Martinique,57,+4,1.0,,,56,7.0,152.0,3.0
105,Trinidad and Tobago,57,+6,,,,57,,41.0,
106,Ghana,53,+26,2.0,,,51,,2.0,0.06
107,Liechtenstein,51,,,,,51,,1338.0,
108,Uzbekistan,50,+4,,,,50,,1.0,
109,Cuba,48,+8,1.0,,1.0,46,2.0,4.0,0.09
110,Montenegro,47,+20,1.0,,,46,,75.0,2.0
111,DRC,45,+9,2.0,,,43,,0.5,0.02
112,Nigeria,44,+4,1.0,,2.0,41,,0.2,0.0
113,Mauritius,42,+6,2.0,,,40,1.0,33.0,2.0
114,Kyrgyzstan,42,+26,,,,42,,6.0,
115,Rwanda,40,+4,,,,40,,3.0,
116,Bangladesh,39,+6,4.0,1.0,5.0,30,,0.2,0.02
117,Channel Islands,36,,,,,36,,207.0,
118,Mayotte,36,+12,,,,36,,132.0,
119,Honduras,30,,,,,30,,3.0,
120,Macao,29,+4,,,10.0,19,,45.0,
121,Bolivia,29,+2,,,,29,,2.0,
122,Paraguay,27,+5,2.0,1.0,,25,1.0,4.0,0.3
123,French Polynesia,25,+7,,,,25,,89.0,
124,Kenya,25,+9,,,,25,,0.5,
125,Monaco,23,,,,1.0,22,,586.0,
126,French Guiana,23,+3,,,6.0,17,,77.0,
127,Isle of Man,23,+10,,,,23,,270.0,
128,Guatemala,21,+1,1.0,,,20,,1.0,0.06
129,Jamaica,21,+2,1.0,,2.0,18,,7.0,0.3
130,Togo,20,+2,,,1.0,19,,2.0,
131,Barbados,18,+1,,,,18,,63.0,
132,Aruba,17,+8,,,1.0,16,,159.0,
133,Madagascar,17,+5,,,,17,,0.6,
134,Gibraltar,15,,,,5.0,10,,445.0,
135,Maldives,13,,,,5.0,8,,24.0,
136,Ethiopia,12,+1,,,,12,,0.1,
137,Tanzania,12,,,,,12,,0.2,
138,Mongolia,10,,,,,10,,3.0,
139,New Caledonia,10,+2,,,,10,,35.0,
140,Equatorial Guinea,9,,,,,9,,6.0,
141,Uganda,9,,,,,9,,0.2,
142,Saint Martin,8,,,,,8,,207.0,
143,Dominica,7,+5,,,,7,,97.0,
144,Haiti,7,+1,,,,7,,0.6,
145,Namibia,7,+3,,,2.0,5,,3.0,
146,Seychelles,7,,,,,7,,71.0,
147,Suriname,7,+2,,,,7,,12.0,
148,Cayman Islands,6,+1,1.0,,,5,,91.0,15.0
149,Curaçao,6,+2,1.0,,,5,,37.0,6.0
150,Gabon,6,,1.0,,,5,,3.0,0.4
151,Benin,6,,,,,6,,0.5,
152,Bermuda,6,,,,,6,,96.0,
153,Guyana,5,,1.0,,,4,,6.0,1.0
154,Bahamas,5,+1,,,1.0,4,,13.0,
155,El Salvador,5,+2,,,,5,,0.8,
156,Greenland,5,+1,,,2.0,3,,88.0,
157,Congo,4,,,,,4,,0.7,
158,Fiji,4,+1,,,,4,,4.0,
159,Guinea,4,,,,,4,,0.3,
160,Vatican City,4,+3,,,,4,,4994.0,
161,Eswatini,4,,,,,4,,3.0,
162,Cabo Verde,3,,1.0,1.0,,2,,5.0,2.0
163,Gambia,3,+1,1.0,,,2,,1.0,0.4
164,Sudan,3,+1,1.0,,,2,,0.07,0.02
165,Zimbabwe,3,,1.0,,,2,,0.2,0.07
166,Angola,3,,,,,3,,0.09,
167,Antigua and Barbuda,3,,,,,3,,31.0,
168,CAR,3,,,,,3,,0.6,
169,Chad,3,+1,,,,3,,0.2,
170,Djibouti,3,,,,,3,,3.0,
171,Liberia,3,,,,,3,,0.6,
172,Mozambique,3,+2,,,,3,,0.1,
173,Myanmar,3,+1,,,,3,,0.06,
174,Niger,3,,,,,3,,0.1,
175,St. Barth,3,,,,,3,,304.0,
176,Saint Lucia,3,,,,,3,,16.0,
177,Zambia,3,,,,,3,,0.2,
178,Nepal,2,,,,1.0,1,,0.07,
179,Bhutan,2,,,,,2,,3.0,
180,Laos,2,+2,,,,2,,0.3,
181,Mauritania,2,,,,,2,,0.4,
182,Nicaragua,2,,,,,2,,0.3,
183,Sint Maarten,2,,,,,2,,47.0,
184,Belize,1,,,,,1,,3.0,
185,Eritrea,1,,,,,1,,0.3,
186,Grenada,1,,,,,1,,9.0,
187,Libya,1,+1,,,,1,,0.1,
188,Montserrat,1,,,,,1,,200.0,
189,Papua New Guinea,1,,,,,1,,0.1,
190,St. Vincent Grenadines,1,,,,,1,,9.0,
191,Somalia,1,,,,,1,,0.06,
192,Syria,1,,,,,1,,0.06,
193,Timor-Leste,1,,,,,1,,0.8,
194,Turks and Caicos,1,,,,,1,,26.0,
195,Total:,422574,43759,18894.0,2381.0,108879.0,294801,13095.0,54.2,2.4
