,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
0,USA,138908,"+15,330",2438.0,+218,4432.0,132038,2948.0,420.0,7.0,Jan 20
1,Italy,97689,"+5,217",10779.0,+756,13030.0,73880,3906.0,1616.0,178.0,Jan 29
2,Spain,78898,"+5,663",6618.0,+636,14709.0,57571,4165.0,1687.0,142.0,Jan 30
3,Germany,62095,"+4,400",525.0,+92,9211.0,52359,1979.0,741.0,6.0,Jan 26
4,France,40174,"+2,599",2606.0,+292,7202.0,30366,4632.0,615.0,40.0,Jan 23
5,Iran,38309,"+2,901",2640.0,+123,12391.0,23278,3206.0,456.0,31.0,Feb 18
6,UK,19522,"+2,433",1228.0,+209,135.0,18159,163.0,288.0,18.0,Jan 30
7,Switzerland,14829,+753,300.0,+36,1595.0,12934,301.0,1713.0,35.0,Feb 24
8,Netherlands,10866,"+1,104",771.0,+132,250.0,9845,972.0,634.0,45.0,Feb 26
9,Belgium,10836,"+1,702",431.0,+78,1359.0,9046,867.0,935.0,37.0,Feb 03
10,S. Korea,9583,+105,152.0,+8,5033.0,4398,59.0,187.0,3.0,Jan 19
11,Turkey,9217,"+1,815",131.0,+23,105.0,8981,568.0,109.0,2.0,Mar 09
12,Austria,8743,+472,86.0,+18,479.0,8178,187.0,971.0,10.0,Feb 24
13,Canada,6280,+625,63.0,+3,508.0,5709,120.0,166.0,2.0,Jan 24
14,Portugal,5962,+792,119.0,+19,43.0,5800,89.0,585.0,12.0,Mar 01
15,Norway,4268,+253,25.0,+2,7.0,4236,91.0,787.0,5.0,Feb 25
16,Brazil,4256,+352,136.0,+22,6.0,4114,296.0,20.0,0.6,Feb 24
17,Israel,4247,+628,15.0,+3,132.0,4100,74.0,491.0,2.0,Feb 20
18,Australia,3980,+345,16.0,+2,226.0,3738,23.0,156.0,0.6,Jan 24
19,Sweden,3700,+253,110.0,+5,16.0,3574,255.0,366.0,11.0,Jan 30
20,Czechia,2775,+144,16.0,+5,11.0,2748,45.0,259.0,1.0,Feb 29
21,Ireland,2615,+200,46.0,+10,5.0,2564,59.0,530.0,9.0,Feb 28
22,Malaysia,2470,+150,35.0,+8,388.0,2047,73.0,76.0,1.0,Jan 24
23,Denmark,2395,+194,72.0,+7,1.0,2322,113.0,413.0,12.0,Feb 26
24,Chile,2139,+230,7.0,+1,75.0,2057,7.0,112.0,0.4,Mar 02
25,Luxembourg,1950,+119,21.0,+3,40.0,1889,25.0,3115.0,34.0,Feb 28
26,Ecuador,1890,+67,57.0,+9,3.0,1830,58.0,107.0,3.0,Feb 28
27,Japan,1866,+173,54.0,+2,424.0,1388,56.0,15.0,0.4,Jan 14
28,Poland,1862,+224,22.0,+4,7.0,1833,3.0,49.0,0.6,Mar 03
29,Romania,1815,+363,43.0,+6,206.0,1566,31.0,94.0,2.0,Feb 25
30,Pakistan,1597,+102,14.0,+2,29.0,1554,11.0,7.0,0.06,Feb 25
31,Russia,1534,+270,8.0,+4,64.0,1462,8.0,11.0,0.05,Jan 30
32,Philippines,1418,+343,71.0,+3,42.0,1305,1.0,13.0,0.6,Jan 29
33,Thailand,1388,+143,7.0,+1,97.0,1284,11.0,20.0,0.1,Jan 12
34,Saudi Arabia,1299,+96,8.0,+4,66.0,1225,12.0,37.0,0.2,Mar 01
35,Indonesia,1285,+130,114.0,+12,64.0,1107,,5.0,0.4,Mar 01
36,South Africa,1280,+93,2.0,+1,31.0,1247,7.0,22.0,0.03,Mar 04
37,Finland,1240,+73,11.0,+2,10.0,1219,32.0,224.0,2.0,Jan 28
