Date,ID ,USA State,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Latitude,Longitude
29-Mar,0,New York,60679,"7,286",1063,180,56044,43,-75
29-Mar,1,New Jersey,13386,"2,262",161,21,13225,35.860119,-74.871826
29-Mar,2,California,6204,655,131,12,6052,39.045753,-119.417931
29-Mar,3,Michigan,5486,836,132,21,5349,44.182205,-84.506836
29-Mar,4,Massachusetts,4955,698,48,4,4906,34.048927,-71.382439
29-Mar,5,Florida,4950,912,60,4,4890,27.994402,-81.760254
29-Mar,6,Washington,4896,586,200,11,4276,36.084621,-120.740135
29-Mar,7,Illinois,4596,"1,105",65,18,4529,40,-89
29-Mar,8,Louisiana,3540,225,151,14,3389,43.07597,-92.329102
29-Mar,9,Pennsylvania,3419,668,41,7,3378,34.307144,-77.194527
29-Mar,10,Texas,2808,479,38,8,2701,31,-100
29-Mar,11,Georgia,2683,237,83,4,2600,33.247875,-83.441162
29-Mar,12,Colorado,2307,246,47,3,2260,47.751076,-105.358887
29-Mar,13,Connecticut,1993,469,34,1,1959,41.599998,-72.699997
29-Mar,14,Tennessee,1720,208,7,,1661,19.741755,-86.660156
29-Mar,15,Ohio,1653,247,29,4,1624,39.41922,-82.996216
29-Mar,16,Indiana,1514,282,32,1,1482,40.273502,-86.126976
29-Mar,17,Maryland,1239,247,10,5,1197,41.203323,-76.641273
29-Mar,18,North Carolina,1167,145,7,3,1160,44.068203,-80.793457
29-Mar,19,Wisconsin,1154,165,17,2,1135,44.5,-89.5
29-Mar,20,Nevada,920,299,15,1,905,39.876019,-117.224121
29-Mar,21,Arizona,919,146,17,2,899,33.836082,-111.093735
29-Mar,22,Missouri,903,65,12,2,889,38.573936,-92.60376
29-Mar,23,Virginia,890,151,22,5,866,66.160507,-78.024902
29-Mar,24,Alabama,827,125,9,5,818,39.113014,-86.902298
29-Mar,25,South Carolina,774,114,16,1,758,42.032974,-81.163727
29-Mar,26,Mississippi,758,95,14,1,744,33,-90
29-Mar,27,Utah,719,117,2,,717,46.96526,-111.950684
29-Mar,28,Oregon,548,69,13,,535,44,-120.5
29-Mar,29,Minnesota,503,62,9,4,360,37.839333,-94.63623
29-Mar,30,Kentucky,439,45,8,,367,37.926868,-84.27002
29-Mar,31,Oklahoma,429,52,16,1,412,47.650589,-96.921387
29-Mar,32,Arkansas,426,17,6,1,392,34.799999,-92.199997
29-Mar,33,District Of Columbia,401,59,9,5,341,35.782169,-77.0369
29-Mar,34,Iowa,336,38,4,1,314,40.367474,-93.581543
29-Mar,35,Kansas,319,58,6,1,313,38.5,-98
29-Mar,36,Idaho,310,49,6,2,304,42.407211,-114.742043
29-Mar,37,Rhode Island,294,55,3,1,291,41.700001,-71.5
29-Mar,38,New Hampshire,258,44,3,1,255,44,-71.5
29-Mar,39,Maine,253,42,3,2,234,45.367584,-68.972168
29-Mar,40,New Mexico,237,29,2,,235,32.31823,-106.018066
29-Mar,41,Vermont,235,24,12,,223,44,-72.699997
29-Mar,42,Delaware,232,18,6,1,217,39,-75.5
29-Mar,44,Montana,161,32,1,,160,46.39241,-109.533691
29-Mar,45,West Virginia,124,11,1,1,123,39,-80.5
29-Mar,46,Nebraska,120,24,2,,118,41.5,-100
29-Mar,48,North Dakota,98,15,1,,79,39.833851,-100.437012
29-Mar,49,South Dakota,90,22,1,,60,44.5,-100
29-Mar,50,Wyoming,87,3,,,87,36.778259,-107.290283
